id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,mae,r2,rmse,acc,auc,balacc,logloss
openml.org/t/233212,Allstate_Claims_Severity,autosklearn2,4h8c,3,regression,-1895.26,neg_rmse,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:20:53,14495.7,14401.7,18.4,6.0,2061097850,,1180.8,0.575123,1895.26,,,,
openml.org/t/233212,Allstate_Claims_Severity,autosklearn2,4h8c,4,regression,-1842.99,neg_rmse,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:20:48,14496.7,14400.3,21.4,10.0,2061097851,,1173.21,0.584269,1842.99,,,,
openml.org/t/233212,Allstate_Claims_Severity,autosklearn2,4h8c,5,regression,-1844.91,neg_rmse,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:21:03,14508.4,14405.5,29.5,11.0,2061097852,,1173.28,0.594516,1844.91,,,,
openml.org/t/233212,Allstate_Claims_Severity,autosklearn2,4h8c,6,regression,-2015.27,neg_rmse,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:20:53,14500.5,14405.4,21.2,9.0,2061097853,,1206.33,0.562121,2015.27,,,,
openml.org/t/233212,Allstate_Claims_Severity,autosklearn2,4h8c,7,regression,-1868.74,neg_rmse,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:20:57,14497.1,14401.9,21.3,9.0,2061097854,,1188.88,0.578385,1868.74,,,,
openml.org/t/233212,Allstate_Claims_Severity,autosklearn2,4h8c,8,regression,-1880.73,neg_rmse,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:21:03,14501.8,14401.6,24.5,9.0,2061097855,,1179.62,0.568572,1880.73,,,,
openml.org/t/233212,Allstate_Claims_Severity,autosklearn2,4h8c,9,regression,-1886.56,neg_rmse,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:21:41,14542.4,14419.8,49.8,11.0,2061097856,,1187.21,0.576682,1886.56,,,,
openml.org/t/10090,amazon-commerce-reviews,autosklearn2,4h8c,0,multiclass,-0.777576,neg_logloss,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:25:30,14470.1,14408.3,0.5,2.0,2061097847,,,,,0.813333,,0.813333,0.777576
openml.org/t/10090,amazon-commerce-reviews,autosklearn2,4h8c,1,multiclass,-0.718167,neg_logloss,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:25:27,14471.4,14405.9,1.7,3.0,2061097848,,,,,0.826667,,0.826667,0.718167
openml.org/t/10090,amazon-commerce-reviews,autosklearn2,4h8c,2,multiclass,-0.651346,neg_logloss,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:25:30,14463.6,14399.3,1.1,3.0,2061097849,,,,,0.84,,0.84,0.651346
openml.org/t/10090,amazon-commerce-reviews,autosklearn2,4h8c,3,multiclass,-0.875869,neg_logloss,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:25:39,14479.3,14414.4,2.1,4.0,2061097850,,,,,0.74,,0.74,0.875869
openml.org/t/10090,amazon-commerce-reviews,autosklearn2,4h8c,4,multiclass,-0.603119,neg_logloss,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:25:37,14476.3,14408.1,2.6,6.0,2061097851,,,,,0.84,,0.84,0.603119
openml.org/t/10090,amazon-commerce-reviews,autosklearn2,4h8c,5,multiclass,-0.72758,neg_logloss,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:25:32,14476.6,14412.4,1.8,7.0,2061097852,,,,,0.766667,,0.766667,0.72758
openml.org/t/10090,amazon-commerce-reviews,autosklearn2,4h8c,6,multiclass,-0.791544,neg_logloss,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:25:45,14490.0,14428.6,0.5,2.0,2061097853,,,,,0.833333,,0.833333,0.791544
openml.org/t/10090,amazon-commerce-reviews,autosklearn2,4h8c,7,multiclass,-0.949475,neg_logloss,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:25:28,14472.1,14410.6,0.5,2.0,2061097854,,,,,0.773333,,0.773333,0.949475
openml.org/t/10090,amazon-commerce-reviews,autosklearn2,4h8c,8,multiclass,-0.821448,neg_logloss,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:25:31,14471.3,14409.3,0.5,2.0,2061097855,,,,,0.826667,,0.826667,0.821448
openml.org/t/10090,amazon-commerce-reviews,autosklearn2,4h8c,9,multiclass,-1.0117,neg_logloss,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:25:45,14464.6,14400.6,1.1,3.0,2061097856,,,,,0.74,,0.74,1.0117
openml.org/t/359979,Amazon_employee_access,autosklearn2,4h8c,0,binary,0.884977,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:20:34,14490.0,14419.0,11.4,14.0,2061097847,,,,,0.945682,0.884977,0.558904,0.150203
openml.org/t/359979,Amazon_employee_access,autosklearn2,4h8c,1,binary,0.873766,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:21:07,14508.7,14422.2,19.3,16.0,2061097848,,,,,0.95148,0.873766,0.616619,0.146913
